2025-12-08T14:46:18.443450,65,454,454,blindspot_overflow_death,-0.102568,2.313848
2025-12-08T14:46:18.443513,121,454,454,blindspot_overflow_death,-0.722049,16.315208
2025-12-08T14:46:18.443599,187,454,454,blindspot_overflow_death,-0.741515,16.712166
2025-12-08T14:46:18.443737,95,455,455,blindspot_overflow_death,-0.93281,23.288044
2025-12-08T14:46:18.443793,139,455,455,blindspot_overflow_death,-0.084909,2.141084
2025-12-08T14:46:18.444193,64,457,457,blindspot_overflow_death,-0.768588,22.996977
2025-12-08T14:46:18.444374,18,458,458,blindspot_overflow_death,-0.890572,28.914081
2025-12-08T14:46:18.444510,133,458,458,blindspot_overflow_death,-0.794909,25.785604
2025-12-08T14:46:18.444519,137,458,458,blindspot_overflow_death,-0.598449,19.245067
2025-12-08T14:46:18.444611,15,459,459,blindspot_overflow_death,-0.990092,33.643648
2025-12-08T14:46:18.444666,53,459,459,blindspot_overflow_death,-0.727867,24.8764
2025-12-08T14:46:18.444700,83,459,459,blindspot_overflow_death,-0.949287,32.643732
2025-12-08T14:46:18.444705,85,459,459,blindspot_overflow_death,-0.60354,20.819712
2025-12-08T14:46:18.444712,90,459,459,blindspot_overflow_death,-0.987229,33.709469
2025-12-08T14:46:18.444825,192,459,459,blindspot_overflow_death,-0.88099,30.044227
2025-12-08T14:46:18.444832,196,459,459,blindspot_overflow_death,-0.928145,31.735774
2025-12-08T14:46:18.444876,32,460,460,blindspot_overflow_death,-0.791849,28.503653
2025-12-08T14:46:18.445209,136,461,461,blindspot_overflow_death,-0.920033,33.867021
2025-12-08T14:46:18.445218,142,461,461,blindspot_overflow_death,-0.999978,36.652908
2025-12-08T14:46:18.445267,182,461,461,blindspot_overflow_death,-0.95194,35.201107
2025-12-08T14:46:18.445388,93,462,462,blindspot_overflow_death,-0.681562,26.015106
2025-12-08T14:46:18.445453,155,462,462,blindspot_overflow_death,-0.853286,32.480166
2025-12-08T14:46:18.445512,5,463,463,blindspot_overflow_death,-0.925393,35.30711
2025-12-08T14:46:18.445573,54,463,463,blindspot_overflow_death,-0.9657,36.659197
2025-12-08T14:46:18.445601,80,463,463,blindspot_overflow_death,-0.995199,37.688557
2025-12-08T14:46:18.445755,31,464,464,blindspot_overflow_death,-0.995096,37.062493
2025-12-08T14:46:18.445828,105,464,464,blindspot_overflow_death,-0.917521,34.440043
2025-12-08T14:46:18.445906,172,464,464,blindspot_overflow_death,-0.974684,37.128332
2025-12-08T14:46:18.445921,180,464,464,blindspot_overflow_death,-0.927741,34.94264
2025-12-08T14:46:18.446061,120,465,465,blindspot_overflow_death,-0.999696,37.047532
2025-12-08T14:46:18.446107,161,465,465,blindspot_overflow_death,-0.989971,36.677611
2025-12-08T14:46:18.446170,23,466,466,blindspot_overflow_death,-0.966012,34.237655
2025-12-08T14:46:18.446231,74,466,466,blindspot_overflow_death,-0.981217,34.755059
2025-12-08T14:46:18.446361,175,466,466,blindspot_overflow_death,-0.934297,33.083375
2025-12-08T14:46:18.446375,186,466,466,blindspot_overflow_death,-0.961958,34.850857
2025-12-08T14:46:18.446443,22,467,467,blindspot_overflow_death,-0.944991,32.512792
2025-12-08T14:46:18.446483,52,467,467,blindspot_overflow_death,-0.959892,32.735115
2025-12-08T14:46:18.446598,177,467,467,blindspot_overflow_death,-0.963584,32.894271
2025-12-08T14:46:18.446644,27,468,468,blindspot_overflow_death,-0.865246,27.951879
2025-12-08T14:46:18.446662,39,468,468,blindspot_overflow_death,-0.979649,31.260584
2025-12-08T14:46:18.446708,82,468,468,blindspot_overflow_death,-0.964736,31.315113
2025-12-08T14:46:18.446796,179,468,468,blindspot_overflow_death,-0.972336,30.840143
2025-12-08T14:46:18.446855,41,469,469,blindspot_overflow_death,-0.972886,28.749339
2025-12-08T14:46:18.446953,147,469,469,blindspot_overflow_death,-0.751992,22.43982
2025-12-08T14:46:18.447008,7,470,470,blindspot_overflow_death,-0.883028,24.310579
2025-12-08T14:46:18.447150,164,470,470,blindspot_overflow_death,-0.998778,26.863792
2025-12-08T14:46:18.447241,47,471,471,blindspot_overflow_death,-0.970379,23.750476
2025-12-08T14:46:18.447249,50,471,471,blindspot_overflow_death,-0.877454,21.666076
2025-12-08T14:46:18.447261,63,471,471,blindspot_overflow_death,-0.976853,24.035487
2025-12-08T14:46:18.447344,156,471,471,blindspot_overflow_death,-0.944121,22.756225
2025-12-08T14:46:18.447454,77,472,472,blindspot_overflow_death,-0.921404,19.802079
2025-12-08T14:46:18.447726,106,472,472,blindspot_overflow_death,-0.984463,21.376206
2025-12-08T14:46:18.447734,107,472,472,blindspot_overflow_death,-0.998937,21.565886
2025-12-08T14:46:18.447810,188,472,472,blindspot_overflow_death,-0.97079,21.136885
2025-12-08T14:46:18.447840,16,473,473,blindspot_overflow_death,-0.971217,19.140762
2025-12-08T14:46:18.447918,113,473,473,blindspot_overflow_death,-0.975768,18.483475
2025-12-08T14:46:18.447972,168,473,473,blindspot_overflow_death,-0.964155,18.29151
2025-12-08T14:46:18.448001,2,474,474,blindspot_overflow_death,-0.925403,15.91569
