t,name,P,R,Xi,death_type
2,HD 37605 c,0.5158,0.0,0.0263,alive
2,K2-138 c,0.7632,0.8745,0.7277,alive
2,HD 1605 c,0.1103,0.8855,0.6007,alive
2,HAT-P-18 b,0.3548,0.0,0.1629,alive
2,WASP-31 b,0.8539,0.0,0.2679,alive
2,BD+20 2457 b,0.0,0.0,0.8133,dead
2,HD 240210 b,0.6903,0.9949,0.3285,alive
2,CoRoT-17 b,0.0,0.118,0.5616,dead
2,HD 132563 b,0.6114,0.0,0.3515,alive
2,HD 55696 b,0.5007,0.9897,0.4663,alive
2,HD 148164 b,0.6116,0.6833,0.1485,alive
2,24 Sex c,0.2049,0.9093,0.0673,alive
2,K2-138 f,0.7632,0.0,0.4016,alive
